Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
J21,Birth from eggs.,"Letuama, Tanimuca, Ufaina, Yahuna, Barasana, Taibano, Macuna",-0.6,-69.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=76db0de9ff985070ecb2e202,https://www.ruthenia.ru/folklore/berezkin/j21.html,
J22C,Conjoined women.,Winnebago,44,-89,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4cb6ebbe22b6264b734166de,https://www.ruthenia.ru/folklore/berezkin/j22c.html,
j22d,Animals cut in half.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Pd-iTCD730m6zgOBY_FaHg,https://www.ruthenia.ru/folklore/berezkin/j22d.html,
J22E,"Man from the afterbirth, T541.12.",Pawnee,41,-99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f3f664fd62feb626b8ff8ae2,https://www.ruthenia.ru/folklore/berezkin/j22e.html,
J23,"Late children defeat the monster, ATU 312D.",Sarah,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=85cb0507dc00246f0154a0df,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Buka,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4e17e64d0390f2cde6e8225f,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.","Telugu (incl. Yanadi, Chenchu)",16,79.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=bcded3f7bc45cdaf55b1abc1,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Lenape (Delaware),40.5,-74.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=59092aabc89b8f70d80d7780,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Svans,42.8,42.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e4d68aa4f9b3040883b550f7,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",North Alaskan Inupiat,68.77683,-160.64844,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6f4709153ea741f66d85d932,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.","Fipa (Bafipa), Iramba, Bende",-7,31,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5825705181f14eb4e8740e5a,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Ossetians,43,44,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0756ea63c8ca9c1504800d23,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Dargin Residents,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d0345ed415904552325be901,https://www.ruthenia.ru/folklore/berezkin/j23.html,
J23,"Late children defeat the monster, ATU 312D.",Tsimshian,54.5,-129,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2a3bb0d66cb5bf9dd8638192,https://www.ruthenia.ru/folklore/berezkin/j23.html,"Boas 1902 : Boas 1902:94-100, 234-235"
J23,"Late children defeat the monster, ATU 312D.","Marshall Islands, Incl Ailinglapalap, Arno, Jaluit, Kili, Lae, Maloelap, Majuro, Ratak, Wotho, Ujae, Jaluit (=Jalooj), Namdrik",9,168,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3fa6e2d732d744e7a7dd7cf1,https://www.ruthenia.ru/folklore/berezkin/j23.html,"Tobin 2002 (Aeloninae Atoll), No. 48 , 49 : 207-209, 213-215"
j23a,Snot turns into a boy.,Shuswap,52,-120,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pyKVqUNR80W4l8rUGoga7A,https://www.ruthenia.ru/folklore/berezkin/j23a.html,No. 34
J25,Infants hide and return.,Nenets,71,83,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=eo36dr5ffof98puax5ymgl0a,https://www.ruthenia.ru/folklore/berezkin/j25.html,"Nenets : Lehtisalo 1957, No. 51 (western from a woman in Obdorsk/Salekhard) : 147-165"
J25,Infants hide and return.,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nrb9wjqqd35d78y4nhu4ho65,https://www.ruthenia.ru/folklore/berezkin/j25.html,"Nenyang 1997 ( Taimyr, Western Labanauskas) : 61-64"
J25,Infants hide and return.,Nenets,71,83,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mvatn4tp823epdtepkefq7t2,https://www.ruthenia.ru/folklore/berezkin/j25.html,"(cf. Entsy : Sorokina, Bolina 2005, No. 13:82-88)"
J25,Infants hide and return.,Yughs,60.257,90.195,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=l9imyfsc4si7uesoxf70nl00,https://www.ruthenia.ru/folklore/berezkin/j25.html,"Uighurs : Kabirov, Shakhmatov 1951:133-152."
J25,Infants hide and return.,Pawnee,41,-99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7o8xn5nzd271qc48941blvmz,https://www.ruthenia.ru/folklore/berezkin/j25.html,"Pawnee (skidi) : Dorsey 1904b, No. 25:88-94"
J25A,Son of the grave.,Yughs,60.257,90.195,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kh67gezbyxik8ybolkjljzoo,https://www.ruthenia.ru/folklore/berezkin/j25a.html,"Uighurs : Kabirov, Shakhmatov 1951:133-152."
J26,Infants from the river.,Nepali; Tharu,28,83,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f2e956b4216ee803ce84e286,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"Bhuiya (now Aryans, Originally Munda; Rahman 1955: 203), Baiga, Bhaina, Bhumia (subgroup Of Baiga, Incl Bharia, Formerly Munda, Now Speak Indo-Aryan Languages Of Neighboring Groups)",23,81,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=afe4edb7caa7a988abfe9580,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"Igbo (Ibo); Isoko, Urhobo",5.5,7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=062092a8b582d468ec5475c6,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,Kirghiz,41.5,75,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=044dbfe6294d6c4843a53f17,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"England, British, Bretons",52.5,-1,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=64ade44c92078fa4c166a40e,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"Albanians, Balkarians",41.30222,19.62646,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=86fd7d85d495b70a5c68c9a1,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,Ingush,43.34276,45.78662,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=543d017eadfb946afa32d9d7,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"Dargin (Dargwa), Incl. Müregin, Khürkilin, Kubachi",42.2,47.6,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2b16cfc35862d7553158c78d,https://www.ruthenia.ru/folklore/berezkin/j26.html,"Osmanov 1963 : 97-102 (=Kapiyeva 1991:120-125; =Mazaev, Kasumov 1997 (1): 349-354)"
J26,Infants from the river.,"Svans, Svans",42.8,42.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8b299953d212c9b1437ed156,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,Azeris (Azerbaijanis),40.34654,48.74414,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e2f50907e655235815da9d1f,https://www.ruthenia.ru/folklore/berezkin/j26.html,
J26,Infants from the river.,"Spain, Spaniards",39.3,-4.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e9da63eedb1bb6e49dcf7fd8,https://www.ruthenia.ru/folklore/berezkin/j26.html,
